JGI ID,JGI start,JGI end,NCBI start,NCBI end,NCBI ID,Column1,NCBI
jgi.p|Yarli1|64515,168362,169555,168362,169555,YALI0_A01331g,YALI0A01331g,YALI0A01331g
jgi.p|Yarli1|64516,172161,174395,172161,174395,YALI0_A01353g,YALI0A01353g,YALI0A01353g
jgi.p|Yarli1|64517,174882,176080,174882,176080,YALI0_A01375g,YALI0A01375g,YALI0A01375g
jgi.p|Yarli1|64518,177300,180250,177300,180250,YALI0_A01397g,YALI0A01397g,YALI0A01397g
jgi.p|Yarli1|64519,180279,181579,180279,181579,YALI0_A01419g,YALI0A01419g,YALI0A01419g
jgi.p|Yarli1|64520,182093,183157,182093,183157,YALI0_A01441g,YALI0A01441g,YALI0A01441g
jgi.p|Yarli1|64521,183955,184263,183955,184263,YALI0_A01452g,YALI0A01452g,YALI0A01452g
jgi.p|Yarli1|64522,185237,186661,185237,186661,YALI0_A01463g,YALI0A01463g,YALI0A01463g
jgi.p|Yarli1|64523,187261,188346,187261,188346,YALI0_A01485g,YALI0A01485g,YALI0A01485g
jgi.p|Yarli1|64524,196867,197313,196867,197313,YALI0_A01540g,YALI0A01540g,YALI0A01540g
jgi.p|Yarli1|64525,201359,204712,201359,204712,YALI0_A01562g,YALI0A01562g,YALI0A01562g
jgi.p|Yarli1|64526,208600,210492,208600,210492,YALI0_A01602g,YALI0A01602g,YALI0A01602g
jgi.p|Yarli1|64527,215891,216946,215891,216946,YALI0_A01650g,YALI0A01650g,YALI0A01650g
jgi.p|Yarli1|64528,219225,220796,219225,220796,YALI0_A01716g,YALI0A01716g,YALI0A01716g
jgi.p|Yarli1|64529,221222,222018,221222,222018,YALI0_A01738g,YALI0A01738g,YALI0A01738g
jgi.p|Yarli1|64530,222902,224182,222902,224182,YALI0_A01760g,YALI0A01760g,YALI0A01760g
jgi.p|Yarli1|64531,225324,226469,225324,226469,YALI0_A01782g,YALI0A01782g,YALI0A01782g
jgi.p|Yarli1|64532,228317,230158,228317,230158,YALI0_A01826g,YALI0A01826g,YALI0A01826g
jgi.p|Yarli1|64533,231346,232332,231346,232332,YALI0_A01848g,YALI0A01848g,YALI0A01848g
jgi.p|Yarli1|64534,233105,234136,233105,234136,YALI0_A01870g,YALI0A01870g,YALI0A01870g
jgi.p|Yarli1|64535,239563,241857,239563,241857,YALI0_A01892g,YALI0A01892g,YALI0A01892g
jgi.p|Yarli1|64536,246784,248385,246784,248385,YALI0_A01958g,YALI0A01958g,YALI0A01958g
jgi.p|Yarli1|64537,249819,251375,249819,251375,YALI0_A01980g,YALI0A01980g,YALI0A01980g
jgi.p|Yarli1|64538,252726,254057,252726,254057,YALI0_A02002g,YALI0A02002g,YALI0A02002g
jgi.p|Yarli1|64539,254153,255943,254153,255943,YALI0_A02024g,YALI0A02024g,YALI0A02024g
jgi.p|Yarli1|64540,256553,257527,256553,257527,YALI0_A02046g,YALI0A02046g,YALI0A02046g
jgi.p|Yarli1|64541,258259,259335,258259,259335,YALI0_A02068g,YALI0A02068g,YALI0A02068g
jgi.p|Yarli1|64542,260225,262147,260225,262147,YALI0_A02090g,YALI0A02090g,YALI0A02090g
jgi.p|Yarli1|64543,263055,263429,263055,263429,YALI0_A02112g,YALI0A02112g,YALI0A02112g
jgi.p|Yarli1|64544,263633,267733,263633,267733,YALI0_A02134g,YALI0A02134g,YALI0A02134g
jgi.p|Yarli1|64545,268401,268852,268401,268852,YALI0_A02156g,YALI0A02156g,YALI0A02156g
jgi.p|Yarli1|64546,268909,269346,268909,269346,YALI0_A02178g,YALI0A02178g,YALI0A02178g
jgi.p|Yarli1|64547,270001,272268,270001,272268,YALI0_A02200g,YALI0A02200g,YALI0A02200g
jgi.p|Yarli1|64548,272421,274673,272421,274673,YALI0_A02222g,YALI0A02222g,YALI0A02222g
jgi.p|Yarli1|64549,278487,280208,278487,280208,YALI0_A02244g,YALI0A02244g,YALI0A02244g
jgi.p|Yarli1|64550,282026,284653,282026,284653,YALI0_A02266g,YALI0A02266g,YALI0A02266g
jgi.p|Yarli1|64551,286025,288514,286025,288514,YALI0_A02288g,YALI0A02288g,YALI0A02288g
jgi.p|Yarli1|64552,290783,292818,290783,292818,YALI0_A02310g,YALI0A02310g,YALI0A02310g
jgi.p|Yarli1|64553,293049,294524,293049,294524,YALI0_A02332g,YALI0A02332g,YALI0A02332g
jgi.p|Yarli1|64554,296570,298252,296570,298252,YALI0_A02354g,YALI0A02354g,YALI0A02354g
jgi.p|Yarli1|64555,302682,303638,302682,303638,YALI0_A02409g,YALI0A02409g,YALI0A02409g
jgi.p|Yarli1|64556,303990,304157,303990,304157,YALI0_A02416g,YALI0A02416g,YALI0A02416g
jgi.p|Yarli1|64557,305061,305225,305061,305225,YALI0_A02423g,YALI0A02423g,YALI0A02423g
jgi.p|Yarli1|64558,306897,307996,306897,307996,YALI0_A02431g,YALI0A02431g,YALI0A02431g
jgi.p|Yarli1|64559,308324,310612,308324,310612,YALI0_A02453g,YALI0A02453g,YALI0A02453g
jgi.p|Yarli1|64560,312985,313530,312985,313530,YALI0_A02475g,YALI0A02475g,YALI0A02475g
jgi.p|Yarli1|64561,316093,317005,316093,317005,YALI0_A02497g,YALI0A02497g,YALI0A02497g
jgi.p|Yarli1|64562,317775,320054,317775,320054,YALI0_A02541g,YALI0A02541g,YALI0A02541g
jgi.p|Yarli1|64563,321024,322042,321024,322042,YALI0_A02563g,YALI0A02563g,YALI0A02563g
jgi.p|Yarli1|64564,322300,323322,322300,323322,YALI0_A02585g,YALI0A02585g,YALI0A02585g
jgi.p|Yarli1|64565,323454,324740,323454,324740,YALI0_A02607g,YALI0A02607g,YALI0A02607g
jgi.p|Yarli1|64566,326518,326868,326518,326868,YALI0_A02629g,YALI0A02629g,YALI0A02629g
jgi.p|Yarli1|64567,328434,329358,328434,329358,YALI0_A02651g,YALI0A02651g,YALI0A02651g
jgi.p|Yarli1|64568,330169,330954,330169,330954,YALI0_A02673g,YALI0A02673g,YALI0A02673g
jgi.p|Yarli1|64569,331727,332740,331727,332740,YALI0_A02695g,YALI0A02695g,YALI0A02695g
jgi.p|Yarli1|64570,333471,334430,333471,334430,YALI0_A02717g,YALI0A02717g,YALI0A02717g
jgi.p|Yarli1|64571,338335,338874,338335,338874,YALI0_A02783g,YALI0A02783g,YALI0A02783g
jgi.p|Yarli1|64572,341365,341730,341365,341730,YALI0_A02849g,YALI0A02849g,YALI0A02849g
jgi.p|Yarli1|64573,342436,342691,342436,342691,YALI0_A02871g,YALI0A02871g,YALI0A02871g
jgi.p|Yarli1|64574,343492,345111,343492,345111,YALI0_A02893g,YALI0A02893g,YALI0A02893g
jgi.p|Yarli1|64575,345694,346371,345694,346371,YALI0_A02915g,YALI0A02915g,YALI0A02915g
jgi.p|Yarli1|64576,347943,348560,347943,348560,YALI0_A02937g,YALI0A02937g,YALI0A02937g
jgi.p|Yarli1|64577,348955,351309,348955,351309,YALI0_A02959g,YALI0A02959g,YALI0A02959g
jgi.p|Yarli1|64578,351994,353625,351994,353625,YALI0_A02981g,YALI0A02981g,YALI0A02981g
jgi.p|Yarli1|64579,353774,354193,353774,354193,YALI0_A03003g,YALI0A03003g,YALI0A03003g
jgi.p|Yarli1|64580,354725,355693,354725,355693,YALI0_A03025g,YALI0A03025g,YALI0A03025g
jgi.p|Yarli1|64581,357648,358193,357648,358193,YALI0_A03069g,YALI0A03069g,YALI0A03069g
jgi.p|Yarli1|64582,358521,360026,358521,360026,YALI0_A03091g,YALI0A03091g,YALI0A03091g
jgi.p|Yarli1|64583,361882,362229,361882,362229,YALI0_A03113g,YALI0A03113g,YALI0A03113g
jgi.p|Yarli1|64584,364640,366274,364640,366274,YALI0_A03135g,YALI0A03135g,YALI0A03135g
jgi.p|Yarli1|64585,367690,368358,367690,368358,YALI0_A03179g,YALI0A03179g,YALI0A03179g
jgi.p|Yarli1|64586,370183,371325,370183,371325,YALI0_A03201g,YALI0A03201g,YALI0A03201g
jgi.p|Yarli1|64587,374280,375929,374280,375929,YALI0_A03245g,YALI0A03245g,YALI0A03245g
jgi.p|Yarli1|64588,378304,380358,378304,380358,YALI0_A03399g,YALI0A03399g,YALI0A03399g
jgi.p|Yarli1|64589,381782,382300,381782,382300,YALI0_A03421g,YALI0A03421g,YALI0A03421g
jgi.p|Yarli1|64590,383729,385546,383729,385546,YALI0_A03443g,YALI0A03443g,YALI0A03443g
jgi.p|Yarli1|64591,387008,389113,387008,389113,YALI0_A03509g,YALI0A03509g,YALI0A03509g
jgi.p|Yarli1|64592,389752,391008,389752,391008,YALI0_A03531g,YALI0A03531g,YALI0A03531g
jgi.p|Yarli1|64593,391290,393856,391290,393856,YALI0_A03553g,YALI0A03553g,YALI0A03553g
jgi.p|Yarli1|64594,394395,394712,394395,394712,YALI0_A03575g,YALI0A03575g,YALI0A03575g
jgi.p|Yarli1|64595,395670,397148,395670,397148,YALI0_A03597g,YALI0A03597g,YALI0A03597g
jgi.p|Yarli1|64596,399107,400135,399107,400135,YALI0_A03641g,YALI0A03641g,YALI0A03641g
jgi.p|Yarli1|64597,400714,401745,400714,401745,YALI0_A03663g,YALI0A03663g,YALI0A03663g
jgi.p|Yarli1|64598,404000,404746,404000,404746,YALI0_A03685g,YALI0A03685g,YALI0A03685g
jgi.p|Yarli1|64599,407130,408674,407130,408674,YALI0_A03751g,YALI0A03751g,YALI0A03751g
jgi.p|Yarli1|64600,408835,409827,408835,409827,YALI0_A03773g,YALI0A03773g,YALI0A03773g
jgi.p|Yarli1|64601,414340,414972,414340,414972,YALI0_A03817g,YALI0A03817g,YALI0A03817g
jgi.p|Yarli1|64602,415894,417456,415894,417456,YALI0_A03839g,YALI0A03839g,YALI0A03839g
jgi.p|Yarli1|64603,418341,420242,418341,420242,YALI0_A03861g,YALI0A03861g,YALI0A03861g
jgi.p|Yarli1|64604,420671,424045,420671,424045,YALI0_A03883g,YALI0A03883g,YALI0A03883g
jgi.p|Yarli1|64605,424988,425953,424988,425953,YALI0_A03905g,YALI0A03905g,YALI0A03905g
jgi.p|Yarli1|64606,430881,433190,430881,433190,YALI0_A03927g,YALI0A03927g,YALI0A03927g
jgi.p|Yarli1|64607,439249,441960,439249,441960,YALI0_A03949g,YALI0A03949g,YALI0A03949g
jgi.p|Yarli1|64608,444031,445731,444031,445731,YALI0_A03971g,YALI0A03971g,YALI0A03971g
jgi.p|Yarli1|64609,445772,446332,445772,446332,YALI0_A03993g,YALI0A03993g,YALI0A03993g
jgi.p|Yarli1|64610,447238,448887,447238,448887,YALI0_A04059g,YALI0A04059g,YALI0A04059g
jgi.p|Yarli1|64611,453438,454604,453438,454604,YALI0_A04191g,YALI0A04191g,YALI0A04191g
jgi.p|Yarli1|64612,458431,460655,458431,460655,YALI0_A04279g,YALI0A04279g,YALI0A04279g
jgi.p|Yarli1|64613,461808,462656,461808,462656,YALI0_A04301g,YALI0A04301g,YALI0A04301g
jgi.p|Yarli1|64614,465608,466456,465608,466456,YALI0_A04323g,YALI0A04323g,YALI0A04323g
jgi.p|Yarli1|64615,468136,469197,468136,469197,YALI0_A04345g,YALI0A04345g,YALI0A04345g
jgi.p|Yarli1|64616,470101,470730,470101,470730,YALI0_A04367g,YALI0A04367g,YALI0A04367g
jgi.p|Yarli1|64617,475113,475721,475113,475721,YALI0_A04455g,YALI0A04455g,YALI0A04455g
jgi.p|Yarli1|64618,479201,479500,479201,479500,YALI0_A04499g,YALI0A04499g,YALI0A04499g
jgi.p|Yarli1|64619,480708,481439,480708,481439,YALI0_A04521g,YALI0A04521g,YALI0A04521g
jgi.p|Yarli1|64620,484613,485071,484613,485071,YALI0_A04587g,YALI0A04587g,YALI0A04587g
jgi.p|Yarli1|64621,487327,490974,487327,490974,YALI0_A04609g,YALI0A04609g,YALI0A04609g
jgi.p|Yarli1|64622,491273,492676,491273,492676,YALI0_A04631g,YALI0A04631g,YALI0A04631g
jgi.p|Yarli1|64623,493047,494573,493047,494573,YALI0_A04653g,YALI0A04653g,YALI0A04653g
jgi.p|Yarli1|64624,494808,495347,494808,495347,YALI0_A04675g,YALI0A04675g,YALI0A04675g
jgi.p|Yarli1|64625,495546,497903,495546,497903,YALI0_A04697g,YALI0A04697g,YALI0A04697g
jgi.p|Yarli1|64626,501284,501541,501284,501541,YALI0_A04719g,YALI0A04719g,YALI0A04719g
jgi.p|Yarli1|64627,502411,504399,502411,504399,YALI0_A04741g,YALI0A04741g,YALI0A04741g
jgi.p|Yarli1|64628,504896,505828,504896,505828,YALI0_A04785g,YALI0A04785g,YALI0A04785g
jgi.p|Yarli1|64629,509325,510677,509325,510677,YALI0_A04873g,YALI0A04873g,YALI0A04873g
jgi.p|Yarli1|64630,513452,514021,513452,514021,YALI0_A04895g,YALI0A04895g,YALI0A04895g
jgi.p|Yarli1|64631,515036,516256,515036,516256,YALI0_A04917g,YALI0A04917g,YALI0A04917g
jgi.p|Yarli1|64632,518339,521335,518339,521335,YALI0_A04939g,YALI0A04939g,YALI0A04939g
jgi.p|Yarli1|64633,521825,523181,521825,523181,YALI0_A04961g,YALI0A04961g,YALI0A04961g
jgi.p|Yarli1|64634,524671,525654,524671,525654,YALI0_A04983g,YALI0A04983g,YALI0A04983g
jgi.p|Yarli1|64635,526422,527426,526422,527426,YALI0_A05005g,YALI0A05005g,YALI0A05005g
jgi.p|Yarli1|64636,529296,531064,529296,531064,YALI0_A05027g,YALI0A05027g,YALI0A05027g
jgi.p|Yarli1|64637,533230,534114,533230,534114,YALI0_A05115g,YALI0A05115g,YALI0A05115g
jgi.p|Yarli1|64638,534888,535824,534888,535824,YALI0_A05137g,YALI0A05137g,YALI0A05137g
jgi.p|Yarli1|64639,536009,536866,536009,536866,YALI0_A05159g,YALI0A05159g,YALI0A05159g
jgi.p|Yarli1|64640,537135,538529,537135,538529,YALI0_A05181g,YALI0A05181g,YALI0A05181g
jgi.p|Yarli1|64641,539012,541099,539012,541099,YALI0_A05203g,YALI0A05203g,YALI0A05203g
jgi.p|Yarli1|64642,541502,541618,541502,541618,YALI0_A05225g,YALI0A05225g,YALI0A05225g
jgi.p|Yarli1|64643,542408,546424,542408,546424,YALI0_A05247g,YALI0A05247g,YALI0A05247g
jgi.p|Yarli1|64644,548602,549357,548602,549357,YALI0_A05291g,YALI0A05291g,YALI0A05291g
jgi.p|Yarli1|64645,553814,554782,553814,554782,YALI0_A05357g,YALI0A05357g,YALI0A05357g
jgi.p|Yarli1|64646,556292,558652,556292,558652,YALI0_A05379g,YALI0A05379g,YALI0A05379g
jgi.p|Yarli1|64647,560444,560935,560444,560935,YALI0_A05401g,YALI0A05401g,YALI0A05401g
jgi.p|Yarli1|64648,561948,562947,561948,562947,YALI0_A05423g,YALI0A05423g,YALI0A05423g
jgi.p|Yarli1|64649,565839,568877,565839,568877,YALI0_A05533g,YALI0A05533g,YALI0A05533g
jgi.p|Yarli1|64650,569106,570203,569106,570203,YALI0_A05555g,YALI0A05555g,YALI0A05555g
jgi.p|Yarli1|64651,573646,576570,573646,576570,YALI0_A05577g,YALI0A05577g,YALI0A05577g
jgi.p|Yarli1|64652,577853,579346,577853,579346,YALI0_A05665g,YALI0A05665g,YALI0A05665g
jgi.p|Yarli1|64653,582866,583210,582866,583210,YALI0_A05775g,YALI0A05775g,YALI0A05775g
jgi.p|Yarli1|64654,585645,586796,585645,586796,YALI0_A05885g,YALI0A05885g,YALI0A05885g
jgi.p|Yarli1|64655,588469,590556,588469,590556,YALI0_A05929g,YALI0A05929g,YALI0A05929g
jgi.p|Yarli1|64656,591278,592621,591278,592621,YALI0_A05951g,YALI0A05951g,YALI0A05951g
jgi.p|Yarli1|64657,594468,594743,594468,594743,YALI0_A05973g,YALI0A05973g,YALI0A05973g
jgi.p|Yarli1|64658,595239,596096,595239,596096,YALI0_A05995g,YALI0A05995g,YALI0A05995g
jgi.p|Yarli1|64659,597216,597497,597216,597497,YALI0_A06017g,YALI0A06017g,YALI0A06017g
jgi.p|Yarli1|64660,597627,598037,597627,598037,YALI0_A06039g,YALI0A06039g,YALI0A06039g
jgi.p|Yarli1|64661,600195,601505,600195,601505,YALI0_A06061g,YALI0A06061g,YALI0A06061g
jgi.p|Yarli1|64662,605093,605794,605093,605794,YALI0_A06105g,YALI0A06105g,YALI0A06105g
jgi.p|Yarli1|64663,606661,607848,606661,607848,YALI0_A06171g,YALI0A06171g,YALI0A06171g
jgi.p|Yarli1|64664,610940,612187,610940,612187,YALI0_A06215g,YALI0A06215g,YALI0A06215g
jgi.p|Yarli1|64665,618269,619201,618269,619201,YALI0_A06347g,YALI0A06347g,YALI0A06347g
jgi.p|Yarli1|64666,619395,620390,619395,620390,YALI0_A06369g,YALI0A06369g,YALI0A06369g
jgi.p|Yarli1|64667,621641,623056,621641,623056,YALI0_A06435g,YALI0A06435g,YALI0A06435g
jgi.p|Yarli1|64668,624657,625127,624657,625127,YALI0_A06457g,YALI0A06457g,YALI0A06457g
jgi.p|Yarli1|64669,625950,627494,625950,627494,YALI0_A06479g,YALI0A06479g,YALI0A06479g
jgi.p|Yarli1|64670,628014,628577,628014,628577,YALI0_A06501g,YALI0A06501g,YALI0A06501g
jgi.p|Yarli1|64671,628919,630028,628919,630028,YALI0_A06523g,YALI0A06523g,YALI0A06523g
jgi.p|Yarli1|64672,636192,637532,636192,637532,YALI0_A06589g,YALI0A06589g,YALI0A06589g
jgi.p|Yarli1|64673,639490,641811,639490,641811,YALI0_A06611g,YALI0A06611g,YALI0A06611g
jgi.p|Yarli1|64674,644466,644960,644466,644960,YALI0_A06633g,YALI0A06633g,YALI0A06633g
jgi.p|Yarli1|64675,646470,649262,646470,649262,YALI0_A06655g,YALI0A06655g,YALI0A06655g
jgi.p|Yarli1|64676,650185,651276,650185,651276,YALI0_A06677g,YALI0A06677g,YALI0A06677g
jgi.p|Yarli1|64677,652938,653264,652938,653264,YALI0_A06699g,YALI0A06699g,YALI0A06699g
jgi.p|Yarli1|64678,653401,653820,653401,653820,YALI0_A06721g,YALI0A06721g,YALI0A06721g
jgi.p|Yarli1|64679,654026,654712,654026,654712,YALI0_A06743g,YALI0A06743g,YALI0A06743g
jgi.p|Yarli1|64680,655752,656549,655752,656549,YALI0_A06765g,YALI0A06765g,YALI0A06765g
jgi.p|Yarli1|64681,657133,658302,657133,658302,YALI0_A06787g,YALI0A06787g,YALI0A06787g
jgi.p|Yarli1|64682,660475,660944,660475,660944,YALI0_A06809g,YALI0A06809g,YALI0A06809g
jgi.p|Yarli1|64683,661073,662116,661073,662116,YALI0_A06831g,YALI0A06831g,YALI0A06831g
jgi.p|Yarli1|64684,671158,672303,671158,672303,YALI0_A06886g,YALI0A06886g,YALI0A06886g
jgi.p|Yarli1|64685,672539,673048,672539,673048,YALI0_A06908g,YALI0A06908g,YALI0A06908g
jgi.p|Yarli1|64686,673363,674334,673363,674334,YALI0_A06930g,YALI0A06930g,YALI0A06930g
jgi.p|Yarli1|64687,675572,675874,675572,675874,YALI0_A06952g,YALI0A06952g,YALI0A06952g
jgi.p|Yarli1|64688,677040,678158,677040,678158,YALI0_A06974g,YALI0A06974g,YALI0A06974g
jgi.p|Yarli1|64689,678527,679621,678527,679621,YALI0_A06996g,YALI0A06996g,YALI0A06996g
jgi.p|Yarli1|64690,680301,683711,680301,683711,YALI0_A07018g,YALI0A07018g,YALI0A07018g
jgi.p|Yarli1|64691,685170,686141,685170,686141,YALI0_A07062g,YALI0A07062g,YALI0A07062g
jgi.p|Yarli1|64692,686888,687382,686888,687382,YALI0_A07084g,YALI0A07084g,YALI0A07084g
jgi.p|Yarli1|64693,690851,693484,690851,693484,YALI0_A07106g,YALI0A07106g,YALI0A07106g
jgi.p|Yarli1|64694,695303,696964,695303,696964,YALI0_A07128g,YALI0A07128g,YALI0A07128g
jgi.p|Yarli1|64695,698050,700305,698050,700305,YALI0_A07142g,YALI0A07142g,YALI0A07142g
jgi.p|Yarli1|64696,702737,706639,702737,706639,YALI0_A07238g,YALI0A07238g,YALI0A07238g
jgi.p|Yarli1|64697,706642,708786,706642,708786,YALI0_A07249g,YALI0A07249g,YALI0A07249g
jgi.p|Yarli1|64698,715465,716073,715465,716073,YALI0_A07403g,YALI0A07403g,YALI0A07403g
jgi.p|Yarli1|64699,716455,718329,716455,718329,YALI0_A07425g,YALI0A07425g,YALI0A07425g
jgi.p|Yarli1|64700,718992,720782,718992,720782,YALI0_A07447g,YALI0A07447g,YALI0A07447g
jgi.p|Yarli1|64701,724464,726422,724464,726422,YALI0_A07557g,YALI0A07557g,YALI0A07557g
jgi.p|Yarli1|64702,728083,729666,728083,729666,YALI0_A07579g,YALI0A07579g,YALI0A07579g
jgi.p|Yarli1|64703,730865,733021,730865,733021,YALI0_A07601g,YALI0A07601g,YALI0A07601g
jgi.p|Yarli1|64704,739417,740811,739417,740811,YALI0_A07623g,YALI0A07623g,YALI0A07623g
jgi.p|Yarli1|64705,742187,742318,742187,742318,YALI0_A07645g,YALI0A07645g,YALI0A07645g
jgi.p|Yarli1|64706,742426,743463,742426,743463,YALI0_A07667g,YALI0A07667g,YALI0A07667g
jgi.p|Yarli1|64707,743706,746012,743706,746012,YALI0_A07689g,YALI0A07689g,YALI0A07689g
jgi.p|Yarli1|64708,746821,747036,746821,747036,YALI0_A07711g,YALI0A07711g,YALI0A07711g
jgi.p|Yarli1|64709,748278,749111,748278,749111,YALI0_A07733g,YALI0A07733g,YALI0A07733g
jgi.p|Yarli1|64710,749461,750216,749461,750216,YALI0_A07755g,YALI0A07755g,YALI0A07755g
jgi.p|Yarli1|64711,751101,751511,751101,751511,YALI0_A07777g,YALI0A07777g,YALI0A07777g
jgi.p|Yarli1|64712,751957,752378,751957,752378,YALI0_A07799g,YALI0A07799g,YALI0A07799g
jgi.p|Yarli1|64713,752808,754259,752808,754259,YALI0_A07821g,YALI0A07821g,YALI0A07821g
jgi.p|Yarli1|64714,757396,759453,757396,759453,YALI0_A07843g,YALI0A07843g,YALI0A07843g
jgi.p|Yarli1|64715,759782,760240,759782,760240,YALI0_A07865g,YALI0A07865g,YALI0A07865g
jgi.p|Yarli1|64716,760372,761172,760372,761172,YALI0_A07887g,YALI0A07887g,YALI0A07887g
jgi.p|Yarli1|64717,762324,766571,762324,766571,YALI0_A07997g,YALI0A07997g,YALI0A07997g
jgi.p|Yarli1|64718,773233,774642,773233,774642,YALI0_A08019g,YALI0A08019g,YALI0A08019g
jgi.p|Yarli1|64719,776896,778776,776896,778776,YALI0_A08041g,YALI0A08041g,YALI0A08041g
jgi.p|Yarli1|64720,780423,781736,780423,781736,YALI0_A08063g,YALI0A08063g,YALI0A08063g
jgi.p|Yarli1|64721,784317,785971,784317,785971,YALI0_A08077g,YALI0A08077g,YALI0A08077g
jgi.p|Yarli1|64722,786218,787417,786218,787417,YALI0_A08107g,YALI0A08107g,YALI0A08107g
